identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;departement;localite;pays;wgs84;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;bornes_de_rechargement_moneo;affranchissement_libre_service;distributeur_pret_a_poster;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_presence_d_une_bande_de_guidage_au_sol
17327A;LA QUEUE EN BRIE BP;Bureau de poste;15 RUE EDGAR DEGAS;;;94510;94;LA QUEUE EN BRIE;FRANCE;48.790596, 2.574099;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17333A;SUCY EN BRIE;Bureau de poste;14 RUE MAURICE BERTEAUX;;;94370;94;SUCY EN BRIE;FRANCE;48.7717, 2.519879;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17343A;MAISONS ALFORT ECOLE VETERINAIRE;Bureau de poste;28 AVENUE DU GENERAL DE GAULLE;;;94700;94;MAISONS ALFORT;FRANCE;48.814693, 2.420439;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
17344A;THIAIS GRIGNON BP;Bureau de poste;111 RUE DU PAVE DE GRIGNON;;;94320;94;THIAIS;FRANCE;48.7551, 2.395059;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17357A;MAISONS ALFORT CHARENTONNEAU;Bureau de poste;86 RUE CHEVREUL;;;94700;94;MAISONS ALFORT;FRANCE;48.808993, 2.444379;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Oui
17358A;LE PERREUX JONCS MARINS BP;Bureau de poste;161 BOULEVARD D ALSACE LORRAINE;;;94170;94;LE PERREUX SUR MARNE;FRANCE;48.851898, 2.508028;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17362A;VITRY PORT A L ANGLAIS;Bureau de poste;33 AV PAUL VAILLANT COUTURIER;;;94400;94;VITRY SUR SEINE;FRANCE;48.799093, 2.400727;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
17363A;SAINT MAUR BERTHELOT;Bureau de poste;12 PARVIS DE SAINT MAUR;;;94100;94;ST MAUR DES FOSSES;FRANCE;48.806393, 2.473139;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
17366A;CHOISY LES GONDOLES BP;Bureau de poste;20 AVENUE VICTOR HUGO;;;94600;94;CHOISY LE ROI;FRANCE;48.767392, 2.416569;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17378A;VILLENEUVE ST GEORGES GRAVIERS BP;Bureau de poste;RUE ROLAND GARROS;CC DES GRAVIERS;;94190;94;VILLENEUVE ST GEORGES;FRANCE;48.751796, 2.451791;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
09173B;LA CELLE LES BORDES AP;Agence postale;5 RUE DU BOIS DES GAULES;;;78720;78;LA CELLE LES BORDES;FRANCE;48.639395, 1.953401;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14251A;PARIS SENTIER;Bureau de poste;54 RUE D ABOUKIR;;;75002;75;PARIS;FRANCE;48.867299, 2.345897;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
14263A;PARIS MOUSSY BP;Bureau de poste;10 RUE DE MOUSSY;;;75004;75;PARIS;FRANCE;48.857799, 2.355906;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
