identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;departement;localite;pays;wgs84;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;bornes_de_rechargement_moneo;affranchissement_libre_service;distributeur_pret_a_poster;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_presence_d_une_bande_de_guidage_au_sol
14365A;PARIS DENFERT ROCHEREAU;Bureau de poste;15 B AVENUE DU GENERAL LECLERC;;;75014;75;PARIS;FRANCE;48.832293, 2.330847;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14369A;PARIS MEDICIS BP;Bureau de poste;24 RUE DE VAUGIRARD;;;75006;75;PARIS;FRANCE;48.849298, 2.33726;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
14382A;PARIS MASSENA BP;Bureau de poste;129 BOULEVARD MASSENA;;;75013;75;PARIS;FRANCE;48.818899, 2.361091;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14389A;PARIS PORTE D'AUBERVILLIERS BP;Bureau de poste;5 AV DE LA PORTE D AUBERVILLIERS;;;75018;75;PARIS;FRANCE;48.899398, 2.37018;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14646A;AVON;Bureau de poste;49  AVENUE FRANKLIN ROOSEVELT;;;77210;77;AVON;FRANCE;48.418298, 2.72862;Géocodé au milieu d un îlot;3631;Oui;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
14650A;BEAUMONT DU GATINAIS BP;Bureau de poste;PLACE DE L EGLISE;;;77890;77;BEAUMONT DU GATINAIS;FRANCE;48.135898, 2.473521;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14656A;BOISSY LE CHATEL BP;Bureau de poste;1 PLACE DE LA MAIRIE;;;77169;77;BOISSY LE CHATEL;FRANCE;48.820951, 3.136569;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non
14659A;BRIE COMTE ROBERT;Bureau de poste;RUE PETIT DE BEAUVERGER;;;77170;77;BRIE COMTE ROBERT;FRANCE;48.692945, 2.608479;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui
14670A;CHARNY BP;Bureau de poste;25 RUE VIGNE CROIX;;;77410;77;CHARNY;FRANCE;48.971011, 2.763658;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non
14680A;CHELLES PRINCIPAL;Bureau de poste;5 AVENUE DE LA RESISTANCE;;;77500;77;CHELLES;FRANCE;48.878396, 2.587446;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14691A;COUILLY PONT AUX DAMES BP;Bureau de poste;RUE EUGENE LEGER;;;77860;77;COUILLY PONT AUX DAMES;FRANCE;48.884198, 2.859917;Géocodé au numéro;3631;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non
14704A;DAMPMART BP;Bureau de poste;9 RUE DE LA REPUBLIQUE;;;77400;77;DAMPMART;FRANCE;48.886054, 2.735675;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non
14708A;EGREVILLE BP;Bureau de poste;23 RUE SAINT MARTIN;;;77620;77;EGREVILLE;FRANCE;48.175696, 2.872355;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14711A;ETREPILLY BP;Bureau de poste;22 RUE DU PONT VERARD;;;77139;77;ETREPILLY;FRANCE;49.036213, 2.928879;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14719A;FLEURY EN BIERE AP;Agence postale;RUE DE RICHELIEU;;;77930;77;FLEURY EN BIERE;FRANCE;48.449991, 2.548726;Géocodé au milieu de la rue;160691559;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14720A;FONTAINEBLEAU;Bureau de poste;PLACE NAPOLEON BONAPARTE;;;77300;77;FONTAINEBLEAU;FRANCE;48.403797, 2.700196;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14721A;FONTAINE FOURCHES AP;Agence postale;25 RUE SAINT MARTIN;;;77480;77;FONTAINE FOURCHES;FRANCE;48.412599, 3.394328;Géocodé au numéro;160589790;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14726A;GASTINS AP;Agence postale;17 PLACE DE L EGLISE;;;77370;77;GASTINS;FRANCE;48.6275, 3.020175;Géocodé au numéro;164083834;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14731A;GRISY SUISNES BP;Bureau de poste;4 RUE DES FLEURS;;;77166;77;GRISY SUISNES;FRANCE;48.686172, 2.666996;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non
14732A;GUERARD BP;Bureau de poste;22 GRANDE RUE;;;77580;77;GUERARD;FRANCE;48.824241, 2.957169;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14734A;HERICY BP;Bureau de poste;9 RUE ALBERT BERTHIER;;;77850;77;HERICY;FRANCE;48.44712, 2.762741;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non
14734B;BOBIGNY JAURES BP;Bureau de poste;178 AVENUE JEAN JAURES;;;93000;93;BOBIGNY;FRANCE;48.909083, 2.43792;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non
14735A;HERME AP;Agence postale;1 PLACE MAIRIE;;;77114;77;HERME;FRANCE;48.483294, 3.349399;Géocodé au numéro;164005747;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14737A;ISLES LES MELDEUSES BP;Bureau de poste;10 RUE DE LA GARE;;;77440;77;ISLES LES MELDEUSES;FRANCE;48.998464, 3.006529;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non
14741A;JOUY SUR MORIN BP;Bureau de poste;15 RUE SAINT PIERRE;;;77320;77;JOUY SUR MORIN;FRANCE;48.793642, 3.271158;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14746A;COULOMMIERS VAUX AP;Relais poste commerçant;;ZAC DE VAUX LE SULKY D OR CTRE CIAL;;77120;77;COULOMMIERS;FRANCE;48.805294, 3.082388;Géocodé au milieu d un îlot;164035713;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14747A;LESIGNY BP;Bureau de poste;13 RUE DE VILLARCEAU;;;77150;77;LESIGNY;FRANCE;48.744711, 2.615695;Géocodé au numéro;3631;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non
14751A;LIZY SUR OURCQ;Bureau de poste;3 RUE DE L EGLISE;;;77440;77;LIZY SUR OURCQ;FRANCE;49.025012, 3.019021;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non
14758A;MARLES EN BRIE AP;Agence postale;;PLACE DE LA MAIRIE;;77610;77;MARLES EN BRIE;FRANCE;48.729794, 2.867738;Géocodé au numéro;164072467;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14760A;MAY EN MULTIEN AP;Agence postale;9 RUE DE SOISSONS;;;77145;77;MAY EN MULTIEN;FRANCE;49.071894, 3.020611;Géocodé au numéro;160016604;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14764A;LE MESNIL AMELOT BP;Bureau de poste;8 GRANDE COUR;;;77990;77;LE MESNIL AMELOT;FRANCE;49.019098, 2.589999;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non
14774A;MONTIGNY LENCOUP AP;Agence postale;PLACE DE LA MAIRIE;;;77520;77;MONTIGNY LENCOUP;FRANCE;48.452493, 3.062176;Géocodé au milieu de la rue;160967237;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14780A;MOUROUX BP;Bureau de poste;24 PLACE DE LA MAIRIE;;;77120;77;MOUROUX;FRANCE;48.821428, 3.038151;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non
14781A;MOUSSY LE NEUF BP;Bureau de poste;9 RUE JEANNE D ARC;;;77230;77;MOUSSY LE NEUF;FRANCE;49.063496, 2.603755;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non
14782A;MOUSSY LE VIEUX AP;Agence postale;RUE DE LA PETITE MONTAGNE;;;77230;77;MOUSSY LE VIEUX;FRANCE;49.046194, 2.624581;Géocodé au milieu de la rue;160034511;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14784A;NANGIS;Bureau de poste;PLACE DUPONT PERROT;;;77370;77;NANGIS;FRANCE;48.556699, 3.011989;Géocodé au milieu de la rue;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui
14785A;NANTEUIL LES MEAUX BP;Bureau de poste;26 RUE PASTEUR;;;77100;77;NANTEUIL LES MEAUX;FRANCE;48.930005, 2.895884;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
14788A;ORLY SUR MORIN AP;Agence postale;LE BOURG;;;77750;77;ORLY SUR MORIN;FRANCE;48.903696, 3.22987;Géocodé au centre de la commune;160225005;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14802A;REBAIS BP;Bureau de poste;8 PROMENADE DE L OUEST;;;77510;77;REBAIS;FRANCE;48.847095, 3.230326;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14810A;SAINT GERMAIN SUR MORIN AP;Agence postale;50 RUE DE PARIS CENTRE COMMERCIA;;;77860;77;ST GERMAIN SUR MORIN;FRANCE;48.883696, 2.84499;Géocodé au numéro;164171373;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14816A;SAINT SOUPPLETS;Bureau de poste;32 RUE DU GENERAL MAUNOURY;;;77165;77;ST SOUPPLETS;FRANCE;49.039928, 2.806695;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non
14825A;SOIGNOLLES EN BRIE BP;Bureau de poste;6 RUE DE CHAMPEAUX;;;77111;77;SOIGNOLLES EN BRIE;FRANCE;48.653413, 2.698861;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non
14828A;THOMERY BP;Bureau de poste;PLACE GREFFULHE;;;77810;77;THOMERY;FRANCE;48.402295, 2.784277;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14829A;THORIGNY SUR MARNE BP;Bureau de poste;2 RUE DU MOUSTIER;;;77400;77;THORIGNY SUR MARNE;FRANCE;48.884241, 2.712916;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non
14837A;VALENCE EN BRIE BP;Bureau de poste;PLACE DE L EGLISE;;;77830;77;VALENCE EN BRIE;FRANCE;48.444368, 2.890809;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14838A;VARENNES SUR SEINE BP;Bureau de poste;1 RUE GRANDE;;;77130;77;VARENNES SUR SEINE;FRANCE;48.373592, 2.944148;Géocodé au centre de la commune;3631;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14847A;VERT SAINT DENIS BP;Bureau de poste;PLACE DU GRAND VILLAGE;;;77240;77;VERT ST DENIS;FRANCE;48.56496, 2.611197;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14868A;SAVIGNY PLESSIS LE ROI  BP;Bureau de poste;CENTRE COMMERCIAL ZAC PLESSIS LE;;;77176;77;SAVIGNY LE TEMPLE;FRANCE;48.604094, 2.56761;Géocodé au milieu d un îlot;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14869A;ROISSY EN BRIE CHARLES PATHE BP;Bureau de poste;9 PREMIERE AVENUE;;;77680;77;ROISSY EN BRIE;FRANCE;48.789957, 2.655264;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14876A;COULOMMIERS TEMPLIERS BP;Bureau de poste;RUE LOUIS BRAILLE;;;77120;77;COULOMMIERS;FRANCE;48.820786, 3.094371;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non
14879A;PONTAULT VILLAGE BP;Bureau de poste;76 AVENUE LUCIEN BRUNET;;;77340;77;PONTAULT COMBAULT;FRANCE;48.783196, 2.601077;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
14882A;PROVINS CHAMPBENOIST BP;Bureau de poste;AVENUE DE LA VOULZIE;;;77160;77;PROVINS;FRANCE;48.546994, 3.29072;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non
14885A;SAVIGNY LE TEMPLE;Bureau de poste;43 AV LOUISE MICHEL;;;77176;77;SAVIGNY LE TEMPLE;FRANCE;48.596199, 2.582293;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
14897A;ARNOUVILLE LES MANTES BP;Bureau de poste;PLACE DE L EGLISE;;;78790;78;ARNOUVILLE LES MANTES;FRANCE;48.910935, 1.731925;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non
14908A;BONNELLES BP;Bureau de poste;38 RUE DE LA LIBERATION;;;78830;78;BONNELLES;FRANCE;48.617503, 2.029025;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non
14910A;BOUAFLE BP;Bureau de poste;7 RUE MAURICE BERTEAUX;;;78410;78;BOUAFLE;FRANCE;48.96535, 1.897875;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non
14921A;CARRIERES SOUS POISSY BP1;Bureau de poste;26 RUE CLAUDE MONET;;;78955;78;CARRIERES SOUS POISSY;FRANCE;48.9484, 2.036865;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
14946A;FEUCHEROLLES BP;Bureau de poste;52 GRANDE RUE;;;78810;78;FEUCHEROLLES;FRANCE;48.87417, 1.973898;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14168A;PARIS LAUMIERE;Bureau de poste;10 AVENUE DE LAUMIERE;;;75019;75;PARIS;FRANCE;48.883298, 2.381017;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
14173A;PARIS TAHITI BP;Bureau de poste;68 BOULEVARD DE REUILLY;;;75012;75;PARIS;FRANCE;48.839494, 2.398489;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14178A;PARIS MINISTERE DES FINANCES BP;Bureau de poste;139 RUE DE BERCY;BATIMENT B;;75012;75;PARIS;FRANCE;48.841094, 2.37789;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non
14181A;PARIS BELLEVILLE;Bureau de poste;73 BOULEVARD DE BELLEVILLE;;;75011;75;PARIS;FRANCE;48.870699, 2.377968;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14183A;PARIS LACHAMBEAUDIE BP;Bureau de poste;1 RUE DE DIJON;;;75012;75;PARIS;FRANCE;48.835393, 2.38536;Géocodé au numéro;3631;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
14207A;PARIS CITROEN BP;Bureau de poste;27 RUE BALARD;;;75015;75;PARIS;FRANCE;48.843397, 2.277496;Géocodé au numéro;3631;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14248A;PARIS BASTILLE;Bureau de poste;12 RUE CASTEX;;;75004;75;PARIS;FRANCE;48.853195, 2.366391;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
14252A;PARIS ODEON /BEAUX ARTS;Bureau de poste;118 BOULEVARD SAINT GERMAIN;;;75006;75;PARIS;FRANCE;48.852192, 2.34061;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14268A;PARIS SEGUR;Bureau de poste;5 AVENUE DE SAXE;;;75007;75;PARIS;FRANCE;48.849897, 2.307735;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14270A;PARIS LITTRE;Bureau de poste;22 RUE LITTRE;;;75006;75;PARIS;FRANCE;48.844498, 2.32416;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14274A;PARIS BOURSE;Bureau de poste;8 PLACE DE LA BOURSE;;;75002;75;PARIS;FRANCE;48.869699, 2.34151;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
14279A;PARIS OBSERVATOIRE/DAGUERRE;Bureau de poste;140 BOULEVARD DU MONTPARNASSE;;;75014;75;PARIS;FRANCE;48.840895, 2.33263;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14284A;PARIS MARX DORMOY;Bureau de poste;2 RUE ORDENER;;;75018;75;PARIS;FRANCE;48.890296, 2.35972;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Oui
14286A;PARIS BOUCICAUT /CITROEN;Bureau de poste;102 RUE DE LA CONVENTION;;;75015;75;PARIS;FRANCE;48.841397, 2.286907;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14289A;PARIS JEANNE D'ARC;Bureau de poste;38 PLACE JEANNE D ARC;;;75013;75;PARIS;FRANCE;48.830492, 2.368162;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
14306A;PARIS SEVRES-BABYLONE / RASPAIL;Bureau de poste;3 RUE DUPIN;;;75006;75;PARIS;FRANCE;48.850196, 2.324989;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
14312A;PARIS LA TREMOILLE BP;Bureau de poste;24 RUE DE LA TREMOILLE;;;75008;75;PARIS;FRANCE;48.867394, 2.303761;Géocodé au numéro;3631;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14318A;PARIS MADELEINE;Bureau de poste;38 RUE VIGNON;;;75009;75;PARIS;FRANCE;48.872692, 2.326742;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui
14321A;PARIS LES TOURELLES;Bureau de poste;339 B RUE DE BELLEVILLE;;;75019;75;PARIS;FRANCE;48.876896, 2.405387;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
14323A;PARIS SAINT LAMBERT;Bureau de poste;2 RUE JOSEPH LIOUVILLE;;;75015;75;PARIS;FRANCE;48.844798, 2.297566;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14325A;PARIS PARC DES PRINCES;Bureau de poste;109 BOULEVARD MURAT;;;75016;75;PARIS;FRANCE;48.8389, 2.25705;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14342A;PARIS SAINT LAZARE;Bureau de poste;7 RUE DE LA PEPINIERE;;;75008;75;PARIS;FRANCE;48.875091, 2.323566;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
14344A;PARIS LA FONTAINE BP;Bureau de poste;3 RUE JEAN DE LAFONTAINE;;;75016;75;PARIS;FRANCE;48.852599, 2.27536;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14353A;PARIS SAINT FARGEAU BP;Bureau de poste;73 BOULEVARD MORTIER;;;75020;75;PARIS;FRANCE;48.869192, 2.408729;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
14383A;PARIS PORTE D'ORLEANS;Bureau de poste;1 PLACE DU 25 AOUT 1944;;;75014;75;PARIS;FRANCE;48.822398, 2.326017;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14390A;PARIS EDITH PIAF;Bureau de poste;21 RUE BELGRAND;;;75020;75;PARIS;FRANCE;48.864592, 2.405998;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
14648A;BARBIZON BP;Bureau de poste;20 GRANDE RUE;;;77630;77;BARBIZON;FRANCE;48.443987, 2.6094;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non
14654A;MELUN GALLIENI;Bureau de poste;3 PLACE GALLIENI;;;77000;77;MELUN;FRANCE;48.527989, 2.656235;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14664A;CHAMPAGNE SUR SEINE BP;Bureau de poste;1 PLACE PAUL JAY;;;77430;77;CHAMPAGNE SUR SEINE;FRANCE;48.399472, 2.798132;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
